🌴林中小屋🏡免费直播接口,#genre#
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8


CCTV-1 综合,http://117.87.147.134:3000/rtp/239.49.8.129:6000#http://220.191.107.162:55555/udp/233.50.200.99:5140#http://117.69.25.24:8888/rtp/238.1.78.166:7200#http://171.213.134.224:19999/udp/239.93.0.184:5140#http://222.95.182.110:4022/rtp/239.49.8.129:6000
CCTV-2 财经,http://171.213.134.224:19999/udp/239.93.1.23:6000#http://117.69.25.24:8888/rtp/238.1.78.235:7752#http://27.151.176.131:4022/rtp/239.61.2.174:9032#http://49.79.92.195:55555/rtp/239.49.8.130:6000#http://60.26.3.235:7000/udp/225.1.1.133:5002
CCTV-3 综艺,http://117.69.25.24:8888/rtp/238.1.78.170:7232#http://115.201.186.182:9999/udp/233.50.200.107:5140#http://171.213.134.224:19999/udp/239.93.1.11:2223#http://220.191.107.162:55555/udp/233.50.200.107:5140#http://113.251.226.86:8003/rtp/235.254.198.53:1488
CCTV-4 中文国际,http://171.213.134.224:19999/udp/239.93.1.105:5140#http://27.151.176.131:4022/rtp/239.61.2.206:9224#http://113.251.226.86:8003/rtp/235.254.198.183:7980#http://220.191.107.162:55555/udp/233.50.200.101:5140#http://117.69.25.24:8888/rtp/238.1.78.236:7760
CCTV-5 体育,http://171.213.134.224:19999/udp/239.93.42.37:5140#http://117.69.25.24:8888/rtp/238.1.78.171:7240#http://220.191.107.162:55555/udp/233.50.200.108:5140#http://27.151.176.131:4022/rtp/239.61.3.35:9728#http://113.251.226.86:8003/rtp/235.254.198.54:1492
CCTV-5+ 体育赛事,http://220.191.107.162:55555/udp/233.50.201.220:5140#http://27.151.176.131:4022/rtp/239.61.2.171:9014#http://117.69.25.24:8888/rtp/238.1.78.237:7768#http://183.186.67.27:8085/rtp/226.0.2.168:9256#http://113.251.226.86:8003/rtp/235.254.198.122:1764
CCTV-6 电影,http://220.191.107.162:55555/udp/233.50.200.109:5140#http://117.69.25.24:8888/rtp/238.1.78.172:7248#http://183.186.67.27:8085/rtp/226.0.2.210:9592#http://171.213.134.224:19999/udp/239.93.1.13:2226#http://113.251.226.86:8003/rtp/235.254.198.55:1496
CCTV-7 国防军事,http://117.69.25.24:8888/rtp/238.1.78.239:7784#http://171.213.134.224:19999/udp/239.93.1.67:5140#http://27.151.176.131:4022/rtp/239.61.2.175:9038#http://183.186.67.27:8085/rtp/226.0.2.159:9184#http://113.251.226.86:8003/rtp/235.254.198.56:1500
CCTV-8 电视剧,http://171.213.134.224:19999/udp/239.93.42.39:5140#http://220.191.107.162:55555/udp/233.50.200.110:5140#http://27.151.176.131:4022/rtp/239.61.3.37:9740#http://117.69.25.24:8888/rtp/238.1.78.173:7256#http://183.186.67.27:8085/rtp/226.0.2.211:9600
CCTV-9 纪录,http://115.201.186.182:9999/udp/233.50.200.23:5140#http://117.69.25.24:8888/rtp/238.1.78.240:7792#http://220.191.107.162:55555/udp/233.50.200.23:5140#http://183.186.67.27:8085/rtp/226.0.2.161:9200#http://113.251.226.86:8003/rtp/235.254.198.58:1508
CCTV-10 科教,http://183.186.67.27:8085/rtp/226.0.2.162:9208#http://117.69.25.24:8888/rtp/238.1.78.241:7800#http://171.213.134.224:19999/udp/239.93.1.28:5140#http://220.191.107.162:55555/udp/233.50.200.22:5140#http://49.79.92.195:55555/rtp/239.49.8.134:6000
CCTV-11 戏曲,http://171.213.134.224:19999/udp/239.93.0.102:5140#http://27.151.176.131:4022/rtp/239.61.2.21:8120#http://117.69.25.24:8888/rtp/238.1.78.206:7502#http://60.26.3.235:7000/udp/225.1.2.192:5002
CCTV-12 社会与法,http://117.69.25.24:8888/rtp/238.1.78.242:7808#http://49.79.92.195:55555/rtp/239.49.8.135:6000#http://220.191.107.162:55555/udp/233.50.200.21:5140#http://117.87.147.134:3000/rtp/239.49.8.135:6000#http://171.213.134.224:19999/udp/239.93.1.30:8124
CCTV-13 新闻,http://171.213.134.224:19999/udp/239.93.0.66:5140#http://115.201.186.182:9999/udp/233.50.200.111:5140#http://183.186.67.27:8085/rtp/226.0.2.165:9232#http://117.69.25.24:8888/rtp/238.1.79.35:4392#http://27.151.176.131:4022/rtp/239.61.2.23:8132
CCTV-14 少儿,http://220.191.107.162:55555/udp/233.50.200.103:5140#http://117.69.25.24:8888/rtp/238.1.78.243:7816#http://60.26.3.235:7000/udp/225.1.1.144:5002#http://117.87.147.134:3000/rtp/239.49.8.136:6000#http://183.186.67.27:8085/rtp/226.0.2.166:9240
CCTV-15 音乐,http://117.69.25.24:8888/rtp/238.1.78.222:7648#http://60.26.3.235:7000/udp/225.1.2.194:5002
CCTV-16 奥林匹克,http://220.191.107.162:55555/udp/233.50.200.112:5140#http://183.186.67.27:8085/rtp/226.0.2.169:9264#http://60.26.3.235:7000/udp/225.1.2.237:5002
CCTV-17 农业农村,http://171.213.134.224:19999/udp/239.93.0.92:5140#http://27.151.176.131:4022/rtp/239.61.3.9:9572#http://117.69.25.24:8888/rtp/238.1.78.178:7296#http://115.201.186.182:9999/udp/233.50.200.113:5140#http://220.191.107.162:55555/udp/233.50.200.113:5140
CHC动作电影,http://118.79.7.143:6000/rtp/226.0.2.94:8012#http://171.119.205.154:6001/rtp/226.0.2.94:8012#http://27.151.176.131:4022/rtp/239.61.3.16:9616#http://60.26.3.235:7000/udp/225.1.1.215:5002
CHC家庭影院,http://118.79.7.143:6000/rtp/226.0.2.240:9820
CHC高清电影,http://118.79.7.143:6000/rtp/226.0.2.93:8004#http://183.186.67.27:8085/rtp/226.0.2.93:8004
兵器科技,http://118.79.7.143:6000/rtp/226.0.2.223:9696#http://183.186.67.27:8085/rtp/226.0.2.223:9696#http://117.69.25.24:8888/rtp/238.1.79.56:4584#http://60.26.3.235:7000/udp/225.1.2.166:5002
怀旧剧场,http://171.119.205.154:6001/rtp/226.0.2.224:9704#http://118.79.7.143:6000/rtp/226.0.2.224:9704#http://117.69.25.24:8888/rtp/238.1.79.61:4624#http://183.186.67.27:8085/rtp/226.0.2.224:9704
世界地理,http://117.69.25.24:8888/rtp/238.1.79.60:4616#http://118.79.7.143:6000/rtp/226.0.2.222:9688#http://171.119.205.154:6001/rtp/226.0.2.222:9688
文化精品,http://118.79.7.143:6000/rtp/226.0.2.219:9664#http://117.69.25.24:8888/rtp/238.1.79.54:4568#http://183.186.67.27:8085/rtp/226.0.2.219:9664#http://171.119.205.154:6001/rtp/226.0.2.219:9664
央视台球,http://118.79.7.143:6000/rtp/226.0.2.216:9640#http://117.69.25.24:8888/rtp/238.1.79.59:4608#http://183.186.67.27:8085/rtp/226.0.2.216:9640#http://60.26.3.235:7000/udp/225.1.2.170:5002
高尔夫网球,http://117.69.25.24:8888/rtp/238.1.79.58:4600
风云剧场,http://117.69.25.24:8888/rtp/238.1.79.62:4632#http://183.186.67.27:8085/rtp/226.0.2.227:9728
风云音乐,http://118.79.7.143:6000/rtp/226.0.2.220:9672#http://117.69.25.24:8888/rtp/238.1.79.64:4648#http://60.26.3.235:7000/udp/225.1.2.176:5002#http://183.186.67.27:8085/rtp/226.0.2.220:9672
第一剧场,http://117.69.25.24:8888/rtp/238.1.79.63:4640#http://118.79.7.143:6000/rtp/226.0.2.221:9680#http://183.186.67.27:8085/rtp/226.0.2.221:9680
女性时尚,http://118.79.7.143:6000/rtp/226.0.2.226:9720#http://117.69.25.24:8888/rtp/238.1.79.55:4576#http://183.186.67.27:8085/rtp/226.0.2.226:9720#http://60.26.3.235:7000/udp/225.1.2.172:5002
风云足球,http://117.69.25.24:8888/rtp/238.1.79.57:4592#http://118.79.7.143:6000/rtp/226.0.2.225:9712#http://60.26.3.235:7000/udp/225.1.2.168:5002
电视指南,http://117.69.25.24:8888/rtp/238.1.79.53:4560#http://171.119.205.154:6001/rtp/226.0.2.218:9656#http://118.79.7.143:6000/rtp/226.0.2.218:9656#http://60.26.3.235:7000/udp/225.1.2.167:5002#http://183.186.67.27:8085/rtp/226.0.2.218:9656
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8

CCTV-1,http://222.129.138.100:4088/rtp/239.3.1.129:8008
CCTV-2,http://222.129.138.100:4088/rtp/239.3.1.60:8084
CCTV-3,http://222.129.138.100:4088/rtp/239.3.1.172:8001
CCTV-4,http://222.129.138.100:4088/rtp/239.3.1.105:8092
CCTV-5,http://222.129.138.100:4088/rtp/239.3.1.173:8001
CCTV-5+,http://222.129.138.100:4088/rtp/239.3.1.130:8004
CCTV-6,http://222.129.138.100:4088/rtp/239.3.1.174:8001
CCTV-7,http://222.129.138.100:4088/rtp/239.3.1.61:8104
CCTV-8,http://222.129.138.100:4088/rtp/239.3.1.175:8001
CCTV-9,http://222.129.138.100:4088/rtp/239.3.1.62:8112
CCTV-10,http://222.129.138.100:4088/rtp/239.3.1.63:8116
CCTV-11,http://222.129.138.100:4088/rtp/239.3.1.152:8120
CCTV-12,http://222.129.138.100:4088/rtp/239.3.1.64:8124
CCTV-13,http://222.129.138.100:4088/rtp/239.3.1.124:8128
CCTV-14,http://222.129.138.100:4088/rtp/239.3.1.65:8132
CCTV-15,http://222.129.138.100:4088/rtp/239.3.1.153:8136
CCTV-16,http://222.129.138.100:4088/rtp/239.3.1.184:8001
CCTV-17,http://222.129.138.100:4088/rtp/239.3.1.151:8144

CCTV-1,http://unraid.jimin.codetech.top:8888/udp/239.3.1.129:8008
CCTV-2,http://unraid.jimin.codetech.top:8888/udp/239.3.1.60:8084
CCTV-3,http://unraid.jimin.codetech.top:8888/udp/239.3.1.172:8001
CCTV-4,http://unraid.jimin.codetech.top:8888/udp/239.3.1.105:8092
CCTV-5,http://unraid.jimin.codetech.top:8888/udp/239.3.1.173:8001
CCTV-6,http://unraid.jimin.codetech.top:8888/udp/239.3.1.174:8001
CCTV-7,http://unraid.jimin.codetech.top:8888/udp/239.3.1.61:8104
CCTV-8,http://unraid.jimin.codetech.top:8888/udp/239.3.1.175:8001
CCTV-9,http://unraid.jimin.codetech.top:8888/udp/239.3.1.62:8112
CCTV-10,http://unraid.jimin.codetech.top:8888/udp/239.3.1.63:8116
CCTV-11,http://unraid.jimin.codetech.top:8888/udp/239.3.1.152:8120
CCTV-12,http://unraid.jimin.codetech.top:8888/udp/239.3.1.64:8124
CCTV-13,http://unraid.jimin.codetech.top:8888/udp/239.3.1.124:8128
CCTV-14,http://unraid.jimin.codetech.top:8888/udp/239.3.1.65:8132
CCTV-15,http://unraid.jimin.codetech.top:8888/udp/239.3.1.153:8136
CCTV-16,http://unraid.jimin.codetech.top:8888/udp/239.3.1.184:8001
CCTV-17,http://unraid.jimin.codetech.top:8888/udp/239.3.1.151:8144
CCTV-5+,http://unraid.jimin.codetech.top:8888/udp/239.3.1.130:8004

CCTV-1,http://221.221.153.193:8888/rtp/239.3.1.129:8008
CCTV-2,http://221.221.153.193:8888/rtp/239.3.1.60:8084
CCTV-3,http://221.221.153.193:8888/rtp/239.3.1.172:8001
CCTV-4,http://221.221.153.193:8888/rtp/239.3.1.105:8092
CCTV-5,http://221.221.153.193:8888/rtp/239.3.1.173:8001
CCTV-6,http://221.221.153.193:8888/rtp/239.3.1.174:8001
CCTV-7,http://221.221.153.193:8888/rtp/239.3.1.61:8104
CCTV-8,http://221.221.153.193:8888/rtp/239.3.1.175:8001
CCTV-9,http://221.221.153.193:8888/rtp/239.3.1.62:8112
CCTV-10,http://221.221.153.193:8888/rtp/239.3.1.63:8116
CCTV-11,http://221.221.153.193:8888/rtp/239.3.1.152:8120
CCTV-12,http://221.221.153.193:8888/rtp/239.3.1.64:8124
CCTV-13,http://221.221.153.193:8888/rtp/239.3.1.124:8128
CCTV-14,http://221.221.153.193:8888/rtp/239.3.1.65:8132
CCTV-15,http://221.221.153.193:8888/rtp/239.3.1.153:8136
CCTV-16,http://221.221.153.193:8888/rtp/239.3.1.184:8001
CCTV-17,http://221.221.153.193:8888/rtp/239.3.1.151:8144
CCTV-5+,http://221.221.153.193:8888/rtp/239.3.1.130:8004

CCTV-1,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.129:8008
CCTV-2,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.60:8084
CCTV-3,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.172:8001
CCTV-4,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.105:8092
CCTV-5,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.173:8001
CCTV-6,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.174:8001
CCTV-7,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.61:8104
CCTV-8,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.175:8001
CCTV-9,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.62:8112
CCTV-10,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.63:8116
CCTV-11,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.152:8120
CCTV-12,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.64:8124
CCTV-13,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.124:8128
CCTV-14,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.65:8132
CCTV-15,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.153:8136
CCTV-16,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.184:8001
CCTV-17,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.151:8144
CCTV-5+,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.130:8004

CCTV-1,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3
CCTV-2,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3
CCTV-3,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000013682&livemode=1&stbId=3
CCTV-4,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=3
CCTV-5,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=3
CCTV-6,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=3
CCTV-7,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=3
CCTV-8,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000031433&livemode=1&stbId=3
CCTV-9,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=3
CCTV-10,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=3
CCTV-11,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=3
CCTV-12,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=3
CCTV-13,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=3
CCTV-14,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000008170&livemode=1&stbId=3
CCTV-15,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=3
CCTV-16,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=3
CCTV-17,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=3
CCTV-5+,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000020505&livemode=1&stbId=3

CCTV-1,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.129:8008
CCTV-2,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.60:8084
CCTV-3,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.172:8001
CCTV-4,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.105:8092
CCTV-5,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.173:8001
CCTV-5+,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.130:8004
CCTV-6,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.174:8001
CCTV-7,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.61:8104
CCTV-8,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.175:8001
CCTV-9,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.62:8112
CCTV-10,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.63:8116
CCTV-11,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.152:8120
CCTV-12,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.64:8124
CCTV-13,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.124:8128
CCTV-14,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.65:8132
CCTV-15,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.153:8136
CCTV-16,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.184:8001
CCTV-17,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.151:8144

CCTV-1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV-2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV-3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV-4,http://39.134.65.141/PLTV/88888888/224/3221226092/1.m3u8
CCTV-5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV-6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV-7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV-8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV-9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV-10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV-11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8
CCTV-12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV-13,http://39.134.67.108/PLTV/88888888/224/3221226125/1.m3u8
CCTV-14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV-15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV-16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV-17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
CCTV-5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8

CCTV-1,http://39.134.65.141/PLTV/88888888/224/3221225816/1.m3u8
CCTV-2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-3,http://39.134.65.141/PLTV/88888888/224/3221225799/1.m3u8
CCTV-4,http://39.134.65.141/PLTV/88888888/224/3221226092/1.m3u8
CCTV-5,http://39.134.65.141/PLTV/88888888/224/3221225818/1.m3u8
CCTV-6,http://39.134.65.141/PLTV/88888888/224/3221225814/1.m3u8
CCTV-7,http://39.134.65.141/PLTV/88888888/224/3221225671/1.m3u8
CCTV-8,http://39.134.65.141/PLTV/88888888/224/3221225795/1.m3u8
CCTV-9,http://39.134.65.141/PLTV/88888888/224/3221225676/1.m3u8
CCTV-10,http://39.134.65.141/PLTV/88888888/224/3221225677/1.m3u8
CCTV-11,http://39.134.65.141/PLTV/88888888/224/3221226123/1.m3u8
CCTV-12,http://39.134.65.141/PLTV/88888888/224/3221225669/1.m3u8
CCTV-13,http://39.134.65.141/PLTV/88888888/224/3221226125/1.m3u8
CCTV-14,http://39.134.65.141/PLTV/88888888/224/3221226132/1.m3u8
CCTV-15,http://39.134.65.141/PLTV/88888888/224/3221225513/1.m3u8
CCTV-16,http://39.134.65.141/PLTV/88888888/224/3221225893/1.m3u8
CCTV-17,http://39.134.65.141/PLTV/88888888/224/3221225708/1.m3u8
CCTV-5+,http://39.134.65.141/PLTV/88888888/224/3221225507/1.m3u8

CCTV-1,http://123.166.61.70:8003/hls/11/index.m3u8
CCTV-2,http://123.166.61.70:8003/hls/12/index.m3u8
CCTV-3,http://39.134.65.141/PLTV/88888888/224/3221225799/1.m3u8
CCTV-4,http://123.166.61.70:8003/hls/41/index.m3u8
CCTV-5,http://123.166.61.70:8003/hls/5/index.m3u8
CCTV-6,CCTV-6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://123.166.61.70:8003/hls/42/index.m3u8
CCTV-8,http://39.134.65.141/PLTV/88888888/224/3221225795/1.m3u8
CCTV-9,http://39.134.65.141/PLTV/88888888/224/3221225676/1.m3u8
CCTV-10,http://39.134.65.141/PLTV/88888888/224/3221225677/1.m3u8
CCTV-11,http://123.166.61.70:8003/hls/43/index.m3u8
CCTV-12,http://39.134.65.141/PLTV/88888888/224/3221225669/1.m3u8
CCTV-13,http://39.134.65.141/PLTV/88888888/224/3221226125/1.m3u8
CCTV-14,http://39.134.65.141/PLTV/88888888/224/3221226132/1.m3u8
CCTV-15,http://123.166.61.70:8003/hls/44/index.m3u8
CCTV-16,http://123.166.61.70:8003/hls/16/index.m3u8
CCTV-17,http://39.134.65.141/PLTV/88888888/224/3221225708/1.m3u8
CCTV-5+,http://123.166.61.70:8003/hls/17/index.m3u8

CCTV-1,http://120.224.178.16:9901/tsfile/live/0001_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-2,http://120.224.178.16:9901/tsfile/live/0002_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-3,http://120.224.178.16:9901/tsfile/live/0003_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-4,http://120.224.178.16:9901/tsfile/live/0004_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-5,http://120.224.178.16:9901/tsfile/live/0005_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-5+,http://120.224.178.16:9901/tsfile/live/0016_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-6,http://120.224.178.16:9901/tsfile/live/0006_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-7,http://120.224.178.16:9901/tsfile/live/0007_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-8,http://120.224.178.16:9901/tsfile/live/0008_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-9,http://120.224.178.16:9901/tsfile/live/0009_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-10,http://120.224.178.16:9901/tsfile/live/0010_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-11,http://120.224.178.16:9901/tsfile/live/0011_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-12,http://120.224.178.16:9901/tsfile/live/0012_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-13,http://120.224.178.16:9901/tsfile/live/0013_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-14,http://120.224.178.16:9901/tsfile/live/0014_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-15,http://120.224.178.16:9901/tsfile/live/0015_1.m3u8?key=tvbox6_com&playlive=1&authid=0

CCTV-1,http://39.135.133.177:80/wh7f454c46tw1338203950-2016505455/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
